,name,party,article_size
30,Recep_Tayyip_Erdoğan,adalet_ve_kalkınma_partisi,205724.0
348,Kemal_Kılıçdaroğlu,cumhuriyet_halk_partisi,130819.0
545,Binali_Yıldırım,adalet_ve_kalkınma_partisi,125429.0
505,Devlet_Bahçeli,milliyetçi_hareket_partisi,106094.0
1046,Ali_Babacan,deva_partisi,85861.0
50,Ekrem_İmamoğlu,cumhuriyet_halk_partisi,80775.0
11,Hulusi_Akar,adalet_ve_kalkınma_partisi,51972.0
1045,Meral_Akşener,iyi_parti,47973.0
73,Yunus_Emre,cumhuriyet_halk_partisi,47111.0
1047,Ahmet_Davutoğlu,gelecek_partisi,46134.0
509,Deniz_Baykal,cumhuriyet_halk_partisi,40420.0
621,Ahmet_Kaya,cumhuriyet_halk_partisi,38295.0
201,Özgür_Özel,cumhuriyet_halk_partisi,32692.0
27,Süleyman_Soylu,adalet_ve_kalkınma_partisi,31207.0
98,Ümit_Özdağ,zafer_partisi,29586.0
173,Saffet_Sancaklı,milliyetçi_hareket_partisi,28752.0
560,Barış_Atay,türkiye_i̇şçi_partisi,28529.0
232,Numan_Kurtulmuş,adalet_ve_kalkınma_partisi,27953.0
6,Berat_Albayrak,adalet_ve_kalkınma_partisi,27898.0
0,Mehmet_Şimşek,adalet_ve_kalkınma_partisi,26533.0
612,Ahmet_Şık,türkiye_i̇şçi_partisi,24797.0
45,Mansur_Yavaş,cumhuriyet_halk_partisi,23842.0
4,Yaşar_Güler,bağımsız,22470.0
444,Garo_Paylan,halkların_demokratik_partisi,21581.0
341,Leyla_Güven,halkların_demokratik_partisi,20337.0
679,Ünal_Karaman,i̇yi̇_parti,19836.0
588,Alpay_Özalan,adalet_ve_kalkınma_partisi,19192.0
361,İsmet_Yılmaz,adalet_ve_kalkınma_partisi,18521.0
15,Hakan_Fidan,bağımsız,18100.0
344,Koray_Aydın,i̇yi̇_parti,17665.0
17,Mevlüt_Çavuşoğlu,adalet_ve_kalkınma_partisi,16510.0
109,Tuncay_Özkan,cumhuriyet_halk_partisi,16450.0
497,Efkan_Âlâ,adalet_ve_kalkınma_partisi,16417.0
111,Tuğrul_Türkeş,adalet_ve_kalkınma_partisi,16415.0
31,Nureddin_Nebati,adalet_ve_kalkınma_partisi,15798.0
5,Murat_Kurum,adalet_ve_kalkınma_partisi,15635.0
792,Mustafa_Sarıgül,cumhuriyet_halk_partisi,15626.0
42,Lütfi_Elvan,adalet_ve_kalkınma_partisi,15572.0
936,Faruk_Çelik,adalet_ve_kalkınma_partisi,15224.0
456,Feleknas_Uca,halkların_demokratik_partisi,15200.0
90,Veysel_Eroğlu,adalet_ve_kalkınma_partisi,14776.0
715,Sırrı_Süreyya_Önder,halkların_eşitlik_ve_demokrasi_partisi,14396.0
37,Bekir_Bozdağ,adalet_ve_kalkınma_partisi,14392.0
440,Gültekin_Uysal,demokrat_parti,14261.0
437,Gürsel_Tekin,cumhuriyet_halk_partisi,14082.0
637,Adnan_Selçuk_Mızraklı,halkların_demokratik_partisi,13946.0
186,Recep_Akdağ,adalet_ve_kalkınma_partisi,13861.0
43,Lütfü_Savaş,cumhuriyet_halk_partisi,13746.0
477,Erkan_Baş,türkiye_i̇şçi_partisi,13685.0
330,Mahmut_Toğrul,halkların_demokratik_partisi,13534.0
329,Markar_Esayan,adalet_ve_kalkınma_partisi,13456.0
486,Enis_Berberoğlu,cumhuriyet_halk_partisi,13340.0
32,Vedat_Bilgin,adalet_ve_kalkınma_partisi,13274.0
508,Deniz_Yavuzyılmaz,cumhuriyet_halk_partisi,13207.0
118,Tanju_Özcan,cumhuriyet_halk_partisi,13010.0
384,İlhan_Kesici,cumhuriyet_halk_partisi,12892.0
24,Cevdet_Yılmaz,adalet_ve_kalkınma_partisi,12667.0
764,Ömer_Çelik,adalet_ve_kalkınma_partisi,12646.0
675,Vehbi_Koç,adalet_ve_kalkınma_partisi,12609.0
41,Mahmut_Özer,adalet_ve_kalkınma_partisi,12559.0
208,Ömer_Faruk_Gergerlioğlu,halkların_eşitlik_ve_demokrasi_partisi,12472.0
322,Mehmet_Bekaroğlu,cumhuriyet_halk_partisi,12386.0
921,Gökçe_Gökçen,cumhuriyet_halk_partisi,12357.0
23,Abdulhamit_Gül,adalet_ve_kalkınma_partisi,12351.0
634,Ahmet_Akın,cumhuriyet_halk_partisi,12268.0
107,Tülay_Hatimoğulları_Oruç,halkların_eşitlik_ve_demokrasi_partisi,12191.0
34,Mehmet_Özhaseki,adalet_ve_kalkınma_partisi,12036.0
516,Cihangir_İslam,cumhuriyet_halk_partisi,12017.0
114,Tolga_Ağar,adalet_ve_kalkınma_partisi,12013.0
606,Akif_Çağatay_Kılıç,adalet_ve_kalkınma_partisi,11884.0
640,Abdüllatif_Şener,cumhuriyet_halk_partisi,11797.0
194,Pervin_Buldan,halkların_eşitlik_ve_demokrasi_partisi,11788.0
197,Öztürk_Yılmaz,yenilik_partisi,11690.0
460,Fatma_Betül_Sayan_Kaya,adalet_ve_kalkınma_partisi,11588.0
155,Semra_Güzel,halkların_demokratik_partisi,11568.0
345,Kenan_Sofuoğlu,adalet_ve_kalkınma_partisi,11532.0
88,Volkan_Bozkır,adalet_ve_kalkınma_partisi,11442.0
527,Cemal_Enginyurt,demokrat_parti,11370.0
624,Ahmet_Eşref_Fakıbaba,i̇yi̇_parti,11213.0
659,Yüksel_Taşkın,cumhuriyet_halk_partisi,11189.0
605,Akif_Hamzaçebi,cumhuriyet_halk_partisi,11156.0
8,Derya_Yanık,adalet_ve_kalkınma_partisi,11121.0
449,Fikri_Işık,adalet_ve_kalkınma_partisi,11033.0
230,Nurettin_Canikli,adalet_ve_kalkınma_partisi,11026.0
224,Olcay_Kılavuz,milliyetçi_hareket_partisi,10721.0
570,Ayşe_Acar_Başaran,halkların_demokratik_partisi,10694.0
246,Nabi_Avcı,adalet_ve_kalkınma_partisi,10650.0
406,Hişyar_Özsoy,halkların_demokratik_partisi,10534.0
163,Selami_Altınok,adalet_ve_kalkınma_partisi,10425.0
7,Mehmet_Nuri_Ersoy,bağımsız,10241.0
151,Serkan_Bayram,adalet_ve_kalkınma_partisi,10150.0
421,Haluk_Koç,cumhuriyet_halk_partisi,10142.0
906,Harun_Özgür_Yıldızlı,cumhuriyet_halk_partisi,10122.0
581,Atila_Sertel,cumhuriyet_halk_partisi,10055.0
539,Bülent_Kuşoğlu,cumhuriyet_halk_partisi,9994.0
257,Mustafa_Savaş,adalet_ve_kalkınma_partisi,9984.0
336,Lütfü_Türkkan,i̇yi̇_parti,9949.0
160,Selin_Sayek_Böke,cumhuriyet_halk_partisi,9900.0
29,Mehmet_Fatih_Kacır,bağımsız,9845.0
39,Fahrettin_Koca,bağımsız,9839.0
