,name,party,Ocak 2020,Şubat 2020,Mart 2020,sum
2,Binali_Yıldırım,adalet_ve_kalkınma_partisi,10,26511,37,26558
0,Recep_Tayyip_Erdoğan,adalet_ve_kalkınma_partisi,2,24001,33,24036
6,Hulusi_Akar,adalet_ve_kalkınma_partisi,0,553,16345,16898
18,Berat_Albayrak,adalet_ve_kalkınma_partisi,0,5677,92,5769
5,Ekrem_İmamoğlu,cumhuriyet_halk_partisi,158,3138,1716,5012
53,Deniz_Yavuzyılmaz,cumhuriyet_halk_partisi,0,0,3848,3848
10,Deniz_Baykal,cumhuriyet_halk_partisi,0,2811,502,3313
67,Cihangir_İslam,cumhuriyet_halk_partisi,0,0,2451,2451
4,Ali_Babacan,deva_partisi,46,1,1316,1363
9,Ahmet_Davutoğlu,gelecek_partisi,50,126,874,1050
